,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
165,"frozenset({'Mercado Livre', 'Nenhum desses / Não uso'})",frozenset({'Android'}),0.21875,0.875,0.21875,1.0,1.1428571428571428,0.02734375,inf
166,"frozenset({'Nenhum desses / Não uso', 'Android'})",frozenset({'Mercado Livre'}),0.21875,0.8125,0.21875,1.0,1.2307692307692308,0.041015625,inf
167,frozenset({'Nenhum desses / Não uso'}),"frozenset({'Mercado Livre', 'Android'})",0.21875,0.75,0.21875,1.0,1.3333333333333333,0.0546875,inf
168,"frozenset({'Mercado Livre', 'Netflix'})",frozenset({'Android'}),0.53125,0.875,0.46875,0.8823529411764706,1.0084033613445378,0.00390625,1.0624999999999998
169,"frozenset({'Mercado Livre', 'Antivírus'})",frozenset({'Android'}),0.3125,0.875,0.28125,0.9,1.0285714285714287,0.0078125,1.2500000000000002
170,"frozenset({'Antivírus', 'Android'})",frozenset({'Mercado Livre'}),0.3125,0.8125,0.28125,0.9,1.1076923076923078,0.02734375,1.8750000000000004
171,frozenset({'Antivírus'}),"frozenset({'Mercado Livre', 'Android'})",0.34375,0.75,0.28125,0.8181818181818182,1.090909090909091,0.0234375,1.3750000000000004
172,"frozenset({'Mercado Livre', 'Backup'})",frozenset({'Android'}),0.65625,0.875,0.59375,0.9047619047619048,1.034013605442177,0.01953125,1.3125
173,"frozenset({'Android', 'Backup'})",frozenset({'Mercado Livre'}),0.71875,0.8125,0.59375,0.8260869565217391,1.0167224080267558,0.009765625,1.078125
174,"frozenset({'Banco', 'Android'})",frozenset({'Mercado Livre'}),0.75,0.8125,0.625,0.8333333333333334,1.0256410256410258,0.015625,1.1250000000000002
175,"frozenset({'Banco', 'Mercado Livre'})",frozenset({'Android'}),0.6875,0.875,0.625,0.9090909090909091,1.0389610389610389,0.0234375,1.3749999999999996
176,"frozenset({'Mercado Livre', 'Android'})",frozenset({'Banco'}),0.75,0.875,0.625,0.8333333333333334,0.9523809523809524,-0.03125,0.7500000000000002
177,"frozenset({'Mercado Livre', 'Android'})",frozenset({'Compras'}),0.75,0.9375,0.75,1.0,1.0666666666666667,0.046875,inf
178,"frozenset({'Mercado Livre', 'Compras'})",frozenset({'Android'}),0.78125,0.875,0.75,0.96,1.0971428571428572,0.06640625,3.1249999999999973
179,"frozenset({'Android', 'Compras'})",frozenset({'Mercado Livre'}),0.84375,0.8125,0.75,0.8888888888888888,1.094017094017094,0.064453125,1.6874999999999993
180,frozenset({'Mercado Livre'}),"frozenset({'Android', 'Compras'})",0.8125,0.84375,0.75,0.9230769230769231,1.0940170940170941,0.064453125,2.0312500000000013
181,frozenset({'Android'}),"frozenset({'Mercado Livre', 'Compras'})",0.875,0.78125,0.75,0.8571428571428571,1.097142857142857,0.06640625,1.5312499999999996
182,frozenset({'Compras'}),"frozenset({'Mercado Livre', 'Android'})",0.9375,0.75,0.75,0.8,1.0666666666666667,0.046875,1.2500000000000002
183,"frozenset({'Não uso nenhum desses/Não viajo', 'Mercado Livre'})",frozenset({'Android'}),0.46875,0.875,0.4375,0.9333333333333333,1.0666666666666667,0.02734375,1.8750000000000004
184,"frozenset({'Mercado Livre', 'Não utilizo meu Smartphone para comprar ingressos/inscrever em eventos'})",frozenset({'Android'}),0.375,0.875,0.34375,0.9166666666666666,1.0476190476190477,0.015625,1.4999999999999993
185,"frozenset({'Android', 'Não utilizo meu Smartphone para comprar ingressos/inscrever em eventos'})",frozenset({'Mercado Livre'}),0.40625,0.8125,0.34375,0.8461538461538461,1.0414201183431953,0.013671875,1.21875
186,"frozenset({'Mercado Livre', 'Não utilizo meu smartphone para nenhum dos serviços acima'})",frozenset({'Android'}),0.25,0.875,0.25,1.0,1.1428571428571428,0.03125,inf
187,"frozenset({'Não utilizo nenhum desses apps de delivery', 'Mercado Livre'})",frozenset({'Android'}),0.5,0.875,0.46875,0.9375,1.0714285714285714,0.03125,2.0
188,"frozenset({'Mercado Livre', 'Sympla'})",frozenset({'Android'}),0.28125,0.875,0.28125,1.0,1.1428571428571428,0.03515625,inf
189,"frozenset({'Android', 'Sympla'})",frozenset({'Mercado Livre'}),0.34375,0.8125,0.28125,0.8181818181818182,1.006993006993007,0.001953125,1.0312500000000002
190,frozenset({'Sympla'}),"frozenset({'Mercado Livre', 'Android'})",0.34375,0.75,0.28125,0.8181818181818182,1.090909090909091,0.0234375,1.3750000000000004
191,"frozenset({'Mercado Livre', 'Uber'})",frozenset({'Android'}),0.46875,0.875,0.40625,0.8666666666666667,0.9904761904761905,-0.00390625,0.9375000000000002
192,"frozenset({'Android', 'Uber'})",frozenset({'Mercado Livre'}),0.4375,0.8125,0.40625,0.9285714285714286,1.1428571428571428,0.05078125,2.6250000000000013
193,"frozenset({'Mercado Livre', 'WhastApp Messenger'})",frozenset({'Android'}),0.5,0.875,0.4375,0.875,1.0,0.0,1.0
194,"frozenset({'WhastApp Messenger', 'Android'})",frozenset({'Mercado Livre'}),0.53125,0.8125,0.4375,0.8235294117647058,1.0135746606334841,0.005859375,1.0624999999999998
195,"frozenset({'Mercado Livre', 'Youtube'})",frozenset({'Android'}),0.71875,0.875,0.6875,0.9565217391304348,1.093167701863354,0.05859375,2.8750000000000018
196,"frozenset({'Mercado Livre', 'Android'})",frozenset({'Youtube'}),0.75,0.90625,0.6875,0.9166666666666666,1.011494252873563,0.0078125,1.1249999999999996
197,"frozenset({'Youtube', 'Android'})",frozenset({'Mercado Livre'}),0.8125,0.8125,0.6875,0.8461538461538461,1.0414201183431953,0.02734375,1.21875
198,frozenset({'Mercado Livre'}),"frozenset({'Youtube', 'Android'})",0.8125,0.8125,0.6875,0.8461538461538461,1.0414201183431953,0.02734375,1.21875
199,"frozenset({'Nenhum desses / Não uso', 'Android'})",frozenset({'Compras'}),0.21875,0.9375,0.21875,1.0,1.0666666666666667,0.013671875,inf
200,"frozenset({'Nenhum desses / Não uso', 'Compras'})",frozenset({'Android'}),0.21875,0.875,0.21875,1.0,1.1428571428571428,0.02734375,inf
201,frozenset({'Nenhum desses / Não uso'}),"frozenset({'Android', 'Compras'})",0.21875,0.84375,0.21875,1.0,1.1851851851851851,0.0341796875,inf
202,"frozenset({'Não utilizo nenhum desses apps de delivery', 'Nenhum desses / Não uso'})",frozenset({'Android'}),0.21875,0.875,0.21875,1.0,1.1428571428571428,0.02734375,inf
203,"frozenset({'Nenhum desses / Não uso', 'Android'})",frozenset({'Não utilizo nenhum desses apps de delivery'}),0.21875,0.65625,0.21875,1.0,1.5238095238095237,0.0751953125,inf
204,frozenset({'Nenhum desses / Não uso'}),"frozenset({'Não utilizo nenhum desses apps de delivery', 'Android'})",0.21875,0.59375,0.21875,1.0,1.6842105263157894,0.0888671875,inf
205,"frozenset({'Netflix', 'Android'})",frozenset({'Backup'}),0.59375,0.84375,0.5625,0.9473684210526315,1.1228070175438596,0.0615234375,2.968749999999997
206,"frozenset({'Netflix', 'Backup'})",frozenset({'Android'}),0.6875,0.875,0.5625,0.8181818181818182,0.9350649350649352,-0.0390625,0.6875000000000002
207,"frozenset({'Banco', 'Netflix'})",frozenset({'Android'}),0.65625,0.875,0.53125,0.8095238095238095,0.9251700680272109,-0.04296875,0.65625
208,"frozenset({'Netflix', 'Android'})",frozenset({'Banco'}),0.59375,0.875,0.53125,0.8947368421052632,1.0225563909774436,0.01171875,1.1875
209,"frozenset({'Netflix', 'Android'})",frozenset({'Compras'}),0.59375,0.9375,0.5625,0.9473684210526315,1.0105263157894737,0.005859375,1.187499999999999
210,"frozenset({'Netflix', 'Compras'})",frozenset({'Android'}),0.65625,0.875,0.5625,0.8571428571428571,0.9795918367346939,-0.01171875,0.8749999999999997
211,"frozenset({'Não uso nenhum desses/Não viajo', 'Netflix'})",frozenset({'Android'}),0.4375,0.875,0.375,0.8571428571428571,0.9795918367346939,-0.0078125,0.8749999999999997
212,"frozenset({'Não utilizo nenhum desses apps de delivery', 'Netflix'})",frozenset({'Android'}),0.40625,0.875,0.34375,0.8461538461538461,0.967032967032967,-0.01171875,0.8125
213,"frozenset({'Netflix', 'Sympla'})",frozenset({'Android'}),0.3125,0.875,0.3125,1.0,1.1428571428571428,0.0390625,inf
214,"frozenset({'Android', 'Sympla'})",frozenset({'Netflix'}),0.34375,0.71875,0.3125,0.9090909090909091,1.2648221343873518,0.0654296875,3.093749999999999
215,frozenset({'Sympla'}),"frozenset({'Netflix', 'Android'})",0.34375,0.59375,0.3125,0.9090909090909091,1.5311004784688995,0.1083984375,4.468749999999998
216,"frozenset({'WhastApp Messenger', 'Netflix'})",frozenset({'Android'}),0.46875,0.875,0.375,0.8,0.9142857142857144,-0.03515625,0.6250000000000001
